duration,comments,latitude,longitude,year
10.0,This object was extremely clear and easy to see&#44 silent and the dim lights were fascinating to watch.,27.3361111,-82.5308333,2012
8.0,What the heck was that?,40.6936111,-75.1113889,2012
15.0,Greyish sphere seen by 2 people in Maine.,44.2563889,-70.2566667,2012
180.0,Changing colored object seen by  manyhovering over suburban neighborhood,42.9133333,-85.7052778,2012
2.0,I saw a neon green white hot and glowing comet or teardrop shaped object falling out of the sky.,28.9886111,-80.9025,2012
1200.0,Reflective object over Lawrenceville Ga. 10/21/12,33.9561111,-83.9880556,2012
600.0,4 objects moving and dancing at very high altitude. shiney&#44 reflective orbs,39.7294444,-104.8313889,2012
180.0,The wife and I had a beautiful daytime siting of a cigar shaped craft flying alongside an airliner. The siting lasted about 3 minutes.,43.2925,-85.0813889,2012
30.0,Cylindrical lights&#44 Anchorage,61.2180556,-149.9002778,2012
420.0,Overflight of two firey orbs.,41.2222222,-73.0569444,2012
900.0,No common aircraft sounds were heard.,28.0341667,-80.5888889,2012
300.0,Orange/ red orb hovering over state college moving slightly in all directions,40.7933333,-77.8602778,2012
300.0,Two craft with bright orange lights and no sound.,33.6305556,-112.3325,2012
120.0,As I was driving my friend home we both saw what appeared to be an airplane on I-90 East towards Cleveland.,41.4994444,-81.6955556,2012
90.0,Large orange ball over Rhode Island.,41.7797222,-71.4377778,2012
31.0,Red triangular Lights&#44 With Multicolored Lights Randomly Between them (31sec. Video),38.545,-121.7394444,2012
5.0,This is my second sighting near this area since 2001.,40.5580556,-90.035,2012
180.0,Light formation,35.4797222,-79.1805556,2012
600.0,I was watching a hawk fly around and a round shinny object caught my eye. it was thousands of feet up. It was traveling north to south,42.0083333,-91.6438889,2012
600.0,10 oval objects flying over Corona&#44 California in broad daylight.,33.8752778,-117.5655556,2012
600.0,Silver orb moving over the Salt Lake valley from north to south and then from south to east.,40.6677778,-111.9380556,2012
480.0,What we saw was what to be a plane but it looked like one from way back just like an old bomber.  It flew over our apt tree level.,43.7980556,-73.0880556,2012
60.0,Ufo flying circles then speeding off with three smaller objects behind it&#44 it was not producing light just reflections from moonlight,33.6602778,-117.9983333,2012
10.0,Large&#44 bright white orb due east of Yucca Valley,34.1141667,-116.4313889,2012
120.0,Two chevron-shaped objects flying in formation spotted over Maple Valley&#44 WA.,47.4066667,-122.0375,2012
1.0,I glowing light unlike anything I have ever seen moved across the sky a d behind a cloud faster than anything I have ever seen. Not a b,32.64,-117.0833333,2012
10.0,Bright red light leading a helicopter at night.,46.5377778,-111.9319444,2012
900.0,Sighted 3 red and white crafts moving back and forth quickly in the sky without sound in Hickory&#44 and friends in Salisbury saw too.,35.7063889,-81.2188889,2012
600.0,Non flashing orange lights going westward across Clinton Iowa making no sound,41.8444444,-90.1886111,2012
420.0,25 to 35 light orange orbs in sky...not flares,61.2180556,-149.9002778,2012
8.0,Like a shooting star&#44 but it was overcast Slow to fast and disappeared Knoxville TN,35.9605556,-83.9208333,2012
30.0,Large star-like orange/red  fireball seen hovering&#44 un-moving in Shepherdsville Ky until it faded away,37.9883333,-85.7158333,2012
120.0,Large colorful rapidly flashing ball of light in eastern Cincinnati&#44 OH.,39.1619444,-84.4569444,2012
120.0,Lights that stayed still but thought it was small planes,37.475,-77.7791667,2012
300.0,Fire ball/object slow moving west to east.  ((NUFORC Note:  Sighting of the ISS??  PD)),33.7455556,-117.8669444,2012
60.0,Gray stationary object seen over Tucker area.,33.7747222,-84.2963889,2012
240.0,Light flashing,36.175,-115.1363889,2012
420.0,Object appeared and morphed into a craft.  See photos.,30.2944444,-81.3933333,2012
1500.0,Saw three amber lights under the half moon about 7 other lights danced around them they all blinked out total lights 20.,47.6588889,-117.425,2012
60.0,Orange/Red Spheres seen by four people in Southwest Ohio,39.0769444,-84.1769444,2012
120.0,2 black flying objects that moved quick and than disappeared,42.4791667,-71.1527778,2012
